brewery,just_a_bar,brewery_id,loc_num,street,city,zipcode,phone_number,Address,City,Zip,Zip_Same?,Lat,Long,serves_food,beer_types,happy_hour,price,reservations,dog_friendly,outdoor,hour_m,hour_tu,hour_wed,hour_th,hour_fr,hour_sat,hour_sun,website,instagram
21st Amendment Brewery,0,1,1,563 2nd St,San Francisco,94107,(415) 369-0900,563 2nd St,San Francisco,94107,TRUE,37.7824966,-122.3926789,1,"IPA, Double IPA, Black IPA, Session Ale, Stout, Wheat Beer",,$$,,,1,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,10:00-24:00,http://21st-amendment.com/,@21stAmendment
Almanac Taproom,0,2,1,2704 24th St,San Francisco,94110,(415) 932-6531,2704 24th St,San Francisco,94110,TRUE,37.753106,-122.4067338,1,"IPA, Double IPA, Red Ale, Pale Ale, Porter, Stout, Wild Ale, Berliner Weissbier, Steam Beer, Barleywine, Pilsner, Gose, Saison",,$$,0,,1,-1,-1,15:00-19:00,15:00-19:00,15:00-19:00,10:00-19:00,10:00-19:00,https://www.almanacbeer.com/taproom/,@almanacbeer
Anchor Brewing,0,3,1,1705 Mariposa St,San Francisco,94107,(415) 863-8350,1705 Mariposa St,San Francisco,94107,TRUE,37.7634098,-122.4010392,0,"IPA, Barleywine, Pale Larger, Porter, Wheat Beer",,$$,,,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,https://www.anchorbrewing.com/,@anchorbrewing
Barebottle Brewing,0,4,1,1525 Cortland Ave,San Francisco,94110,(415) 926-8617,1525 Cortland Ave,San Francisco,94110,TRUE,37.740085,-122.409003,1,"IPA, Double IPA, West Coast IPA, Session Ale, Brown Ale, Golden Ale, Pale Ale, Dark Ale, Stout, Saison, Kolsch",,$$,,1,,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,12:00-23:00,11:00-23:00,11:00-21:00,http://www.barebottle.com/,@barebottle
Barrel Head Brewhouse,0,5,1,1785 Fulton Street,San Francisco,94117,(415) 416-6989,1785 Fulton St,San Francisco,94117,TRUE,37.7757115,-122.4460537,1,"IPA, Belgian Tripel, Kolsch, Oktoberfest, Baltic Porter, Saison, Bock",1,$$,1,0,0,16:30-24:00,16:30-24:00,16:30-24:00,16:30-25:00,12:00-25:00,12:00-25:00,10:00-24:00,http://www.barrelheadsf.com,@barrelheadsf
Bartlett Hall,1,6,1,242 O'Farrell St,San Francisco,94102,(415) 433-4332,242 O'Farrell St,San Francisco,94102,TRUE,37.786595,-122.408809,1,"Blonde Ale, Hefeweizen, Saison, Irish Stout, Brown Shugga",,$$,1,,0,11:30-25:30,11:30-25:30,11:30-25:30,11:30-25:30,11:30-25:30,10:30-25:30,10:30-25:30,http://bartletthall.com/,@bartletthallsf
Black Hammer Brewing,0,7,1,544 Bryant Street,San Francisco,94107,(415) 758-2223,544 Bryant St,San Francisco,94107,TRUE,37.7807045,-122.3970749,0,"IPA, Pale Ale, Blonde Ale, Stout, Saison, Belgian Witbier, Kolsch, Bock",1,$$,1,1,,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-24:00,12:00-24:00,14:00-22:00,https://blackhammerbrewing.com,@blackhammerbrewing
Black Sands Brewery,0,8,1,701 Haight St,San Francisco,94117,(415) 534-5194,701 Haight St,San Francisco,94117,TRUE,37.771455,-122.433855,1,"IPA, Red IPA, Belgian Saison, Saison, Kolsch",,$$,0,,,-1,08:00-24:00,08:00-24:00,08:00-24:00,08:00-25:00,08:00-25:00,08:00-24:00,http://www.blacksandsbeer.com/,@blacksandsbeer
Cellarmaker Brewing Co.,0,9,1,1150 Howard St,San Francisco,94103,(415) 863-3940,1150 Howard St,San Francisco,94103,TRUE,37.777171,-122.41073,1,"IPA, Pale Ale, Blonde Ale, Brown Ale, Smoked Porter, Baltic Porter, Barrel-Aged Stout, Imperial Stout, American Bitter",,$$,,,0,-1,15:00-23:00,15:00-23:00,15:00-23:00,12:00-23:00,12:00-23:00,13:00-20:00,https://www.cellarmakerbrewing.com/,@cellarmakerbrewing
Emporium,0,10,1,616 Divisadero St,San Francisco,94117,NA,616 Divisadero St,San Francisco,94117,TRUE,37.7753565,-122.4374673,,"IPA, Double IPA, Pale Ale, Red Ale, Saison, Lager, Stout, Kolsch, Pilsner",,$$,1,0,0,16:00-26:00,-1,16:00-26:00,16:00-26:00,15:00-26:00,12:00-26:00,12:00-26:00,http://emporiumsf.com/beer/,@emporiumsf
Ferment.Drink.Repeat,0,11,1,2636 San Bruno Ave.,San Francisco,94134,(415) 825-5657,2636 San Bruno Ave,San Francisco,94134,TRUE,37.7282626,-122.4041673,0,"IPA, Blonde Ale, Belgian Tripel, Saison, Stout, Smoked Porter, Kombucha Shandy, Belgian Witbier, Pilsner",1,$,1,1,0,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-23:00,15:00-23:00,12:00-21:00,https://www.fermentdrinkrepeat.com/,@fermentdrinkrepeat
Fort Point Beer Co.,0,12,1,1 The Embarcadero #54,San Francisco,94105,(415) 818-3993,644 Mason St,San Francisco,94129,FALSE,37.7955703,-122.3933208,1,"IPA, Double IPA, Rye Pale Ale, Red Ale, Barrel-aged Ale, Wheat Beer, Kolsch, Pilsner, Porter, Saison",,$$,,,,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,10:00-20:00,11:00-18:00,http://www.fortpointbeer.com/,@fortpointbeer
Harmonic Brewing,0,13,1,1050 26th St,San Francisco,94107,(415) 872-6817,1050 26th St,San Francisco,94107,TRUE,37.7516236,-122.3900315,0,"IPA, White Ale, Axe Pale, Rye Pale, Brow Ale, Stout, Kolsch",,$$,1,1,,-1,16:00-20:00,15:00-22:00,15:00-23:00,14:00-23:00,12:00-23:00,13:00-19:00,http://harmonicbrewing.com/,@harmonicbrewing
Laughing Monk Brewing Co.,0,14,1,1439 Egbert Ave,San Francisco,94124,(415) 890-5970,1439 Egbert Ave a,San Francisco,94124,TRUE,37.7229323,-122.3933574,0,"IPA, Double IPA, Pale Ale, Golden Ale, Pale Ale, Stout, Pilsner, Gose, Belgian Tripel, Belgian Dubbel, Belgian Witbier",0,$$,0,1,0,-1,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,12:00-22:00,12:00-20:00,http://www.laughingmonkbrewing.com/,@laughingmonksf
Local Brewing Co.,0,15,1,69 Bluxome St,San Francisco,94107,(415) 932-6702,69 Bluxome St,San Francisco,94107,TRUE,37.7764897,-122.39716,1,"West Coast IPA, Double IPA, Golden IPA, Lager, Hefeweizen, Stout, Imperial Stout, Belgian Dubbel",0,$$,,,,14:00-21:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-21:00,http://localbrewingco.com/,@localbrewingco
Magnolia Brewing Co.,0,16,1,1398 Haight St,San Francisco,94117,(415) 864-7468,1398 Haight St,San Francisco,94117,TRUE,37.7703879,-122.4451741,1,"IPA, Pale Ale, Golden Ale, Kolsch, Dortmunder, Belgian Witbier, Belgian Dubbel, Porter",,$$,0,1,1,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-23:00,10:00-23:00,10:00-22:00,http://magnoliabrewing.com/,@magnoliapub
SMOKESTACK at Magnolia Brewing Co.,0,17,2,2505 3rd St,San Francisco,94107,(415) 864-7468,2505 3rd St,San Francisco,94107,TRUE,37.7576872,-122.3879594,1,"IPA, Pale Ale, Golden Ale, Kolsch, Dortmunder, Belgian Witbier, Belgian Dubbel, Porter",,$$,,,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-23:00,10:00-23:00,10:00-22:00,http://magnoliabrewing.com/,@magnoliapub
Mikkeller Bar,1,18,1,34 Mason St,San Francisco,94102,(415) 984-0279,34 Mason St,San Francisco,94102,TRUE,37.7839519,-122.4090592,1,"IPA, Dark IPA, Barrel-aged IPA, West Coast IPA, Sour IPA, Sour Ale, Pale Ale, Stout, Imperial Stout, Porter, Lambic, Berliner Weisse, Bock, Barleywine, Pilsner, Kolsch, Amber Lager, Smoked Lager, Wheat Beer, Belgian Tripel, Saison",0,$$,0,0,0,12:00-24:00,12:00-24:00,12:00-24:00,12:00-26:00,12:00-26:00,11:00-26:00,11:00-24:00,http://www.mikkellerbar.com/,@mikkellerdtla
Public House,0,19,1,24 Willie Mays Plaza,San Francisco,94107,(415) 644-0240,24 Willie Mays Plaza,San Francisco,94107,TRUE,37.7779162,-122.3910323,,"Blonde Ale, Brown Ale, Sour Ale, Pale Ale, Porter, Lambic, Saison, Porter, Stout, Imperial Stout, Barleywine, Lager, Wheat Beer, Pilsner",,$$,0,1,1,-1,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,10:00-21:00,http://publichousesf.com/,NA
Rogue Ales Public House,0,20,1,673 Union St,San Francisco,94133,(415) 362-7880,673 Union St,San Francisco,94133,TRUE,37.8001782,-122.4106429,1,"IPA, Double IPA, West Coast IPA, Amber Ale, Barrel-aged Ale, Brown Ale, Pale Ale, Stout, Imperial Stout, Imperial Pilsner, Barleywine, Kolsch, Porter",,$$,0,,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-26:00,12:00-26:00,9:30-23:00,http://www.rogue.com/roguemeetinghalls/,@rogueales
Smugglers Cove,1,21,1,650 Gough St,San Francisco,94102,(415) 869-1900,650 Gough St,San Francisco,94102,TRUE,37.779432,-122.423375,0,,1,,0,0,0,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,17:00-25:15,http://www.smugglerscovesf.com,@smugglerscovesf
Speakeasy Ales and Lagers,0,22,1,1195 Evans Ave,San Francisco,94124,(415) 642-3371,1195 Evans Ave,San Francisco,94124,TRUE,37.7381571,-122.3806562,,"IPA, Double IPA, Session IPA, Pale Ale, Rye Beer, Porter, Lager, Pilsner",,$,0,0,0,-1,15:00-21:00,15:00-21:00,15:00-21:00,12:00-22:00,12:00-22:00,12:00-20:00,https://www.goodbeer.com/taproom/,@speakeasybeer
Beach Chalet Restaurant & Brewery,0,23,1,1000 Great Hwy,San Francisco,94121,(415) 386-8439,1000 Great Hwy,San Francisco,94121,TRUE,37.7694643,-122.5100964,1,"IPA, Blonde Ale, Wheat Beer, Pale Ale, Red Ale, Stout, Root Beer",,$$,1,,,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,10:00-22:30,10:00-22:30,https://www.beachchalet.com/#coastal-seafood-brewery,NA
ThirstyBear Organic Brewery,0,24,1,661 Howard St,San Francisco,94105,(415) 974-0905,661 Howard St,San Francisco,94105,TRUE,37.7853454,-122.3995264,1,"IPA, Pale Ale, Golden Ale, Wheat Beer, Porter, American Lager, American Sour, Altbier",,$$,1,,0,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-23:00,11:30-23:00,12:00-22:00,http://thirstybear.com/,@thirstybearbrew
Old Bus Tavern,0,25,1,3193 Mission St,San Francisco,94110,(415) 843-1938,3193 Mission St,San Francisco,94110,TRUE,37.7457116,-122.4195393,1,"Saison, Porter, Rye Beer, Kolsch, Lager, Double IPA, Brown Ale ",,$$,1,1,1,17:30-22:00,17:30-22:00,17:30-22:00,17:30-22:00,17:30-24:00,15:00-24:00,15:00-21:30,http://www.oldbustavern.com/,@oldbustavern
Seven Stills - Brewery & Distillery,0,26,1,1439 Egbert Ave,San Francisco,94124,(415) 914-0936,1439 Egbert Ave,San Francisco,94124,TRUE,37.7230321,-122.3935644,1,,1,$$,,1,0,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-23:00,10:00-23:00,10:00-21:00,https://sevenstillsofsf.com/,@sevenstills
Social Kitchen & Brewery,0,27,1,1326 9th Ave,San Francisco,94122,(415) 681-0330,1326 9th Ave,San Francisco,94122,TRUE,37.7635294,-122.4661409,1,"Lager, Golden Ale, Brown Ale, Stout, Amber Ale, Pale Ale, IPA",,$$,1,0,0,17:00-23:30,17:00-23:30,17:00-23:30,17:00-25:00,16:00-25:00,11:30-25:00,11:30-23:30,https://www.socialkitchenandbrewery.com/,@socialbrewery
Southpaw BBQ & Brewery,1,28,1,2170 Mission St,San Francisco,94110,(415) 934-9300,2170 Mission St,San Francisco,94110,TRUE,37.762312,-122.419691,1,,1,$$,,,,17:00-22:30,-1,17:00-22:30,17:00-22:30,17:00-23:30,15:00-23:30,15:00-23:30,http://www.southpawbbqsf.com/,
Standard Deviant Brewing,0,29,1,280 14th St,San Francisco,94103,(415) 590-2550,280 14th St,San Francisco,94103,TRUE,37.768473,-122.419455,1,"Saison, Mosiac Pale Ale, Altbier, Kolsch, IPA, Belgian Blonde, Belgian IPA, Porter, Callista Pale",0,$,0,1,0,-1,-1,16:00-21:00,16:00-22:00,16:00-24:00,13:00-24:00,10:00-21:00,http://standarddeviantbrewing.com/,@standarddeviantbrewing
Sunset Reservoir Brewing Co.,0,30,1,1735 Noriega St,San Francisco,94122,(415) 571-8452,1735 Noriega St,San Francisco,94122,TRUE,37.7537616,-122.4824114,1,"Foggy Lager, Wheat, Little Red, IPA, Pale Ale, Brown Ale",0,$$,1,0,0,12:00-21:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,10:00-23:00,10:00-21:00,http://sunsetbeersf.com/,
Triple Voodoo Brewery,0,31,1,2245 3rd St,San Francisco,94107,(415) 598-8811,2245 3rd St,San Francisco,94107,TRUE,37.76121,-122.388459,0,,,$$,1,1,0,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,15:00-24:00,12:00-24:00,12:00-20:00,https://www.triplevoodoo.com/,
Woods Outbound,0,32,1,4045 Judah St,San Francisco,94122,(415) 571-8025,4045 Judah St,San Francisco,94122,TRUE,37.7603221,-122.5055773,1,"IPA, Pilsner, Brown Ale, Ginger Pale, Blonde Ale",0,$$,0,0,0,16:00-22:00,16:00-22:00,16:00-22:00,16:00-24:00,15:00-24:00,12:00-24:00,12:00-22:00,http://www.woodsbeer.com/outbound,
Woods Cerveceria,0,33,2,3801 18th Street,San Francisco,94114,(415) 212-8412,3801 18th Street,San Francisco,94114,TRUE,37.7611047,-122.428513,1,"IPA, Pilsner, Brown Ale, Ginger Pale, Blonde Ale",0,$$,0,0,1,16:00-22:00,16:00-22:00,16:00-22:00,16:00-23:00,14:00-24:00,12:00-24:00,12:00-22:00,http://www.woodsbeer.com/cerveceria,
Woods Polk Station,0,34,3,2255 Polk Street,San Francisco,94109,(415) 483-5530,2255 Polk Street,San Francisco,94109,TRUE,37.7976958,-122.4223561,1,"IPA, Pilsner, Brown Ale, Ginger Pale, Blonde Ale",0,$$,0,0,0,17:00-22:00,17:00-22:00,17:00-22:00,17:00-23:00,15:00-25:00,12:00-25:00,15:00-22:00,http://www.woodsbeer.com/polk-station,
